MANDT,AUFPL,APLZL,PLNFL,PLNKN,PLNAL,PLNTY,VINTV,PLNNR,ZAEHL,VORNR,STEUS,ARBID,PDEST,WERKS,KTSCH,LTXA1,LTXA2,TXTSP,VPLTY
1,2034761,5,0,5,1,N,0,50354897,5,50,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2034761,6,0,6,1,N,0,50354897,6,60,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2034761,7,0,7,1,N,0,50354897,7,70,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2034761,8,0,8,1,N,0,50354897,8,80,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2034761,9,0,9,1,N,0,50354897,9,90,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2034761,10,0,10,1,N,0,50354897,10,100,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2034761,11,0,11,1,N,0,50354897,11,110,US01,10005776,,US02,MMIP001,PAINTING,,,
1,2034761,12,0,12,1,N,0,50354897,12,120,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2034761,13,0,13,1,N,0,50354897,13,130,US01,10005778,,US02,MMQA001,QUALITY,,EN,
1,2034762,1,0,1,1,N,0,50354897,1,10,US01,10005775,,US02,MMIA001,ASSEMBLY,,EN,
1,2034762,2,0,2,1,N,0,50354897,2,20,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2034762,3,0,3,1,N,0,50354897,3,30,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2034762,4,0,4,1,N,0,50354897,4,40,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2034762,5,0,5,1,N,0,50354897,5,50,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2034762,6,0,6,1,N,0,50354897,6,60,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2034762,7,0,7,1,N,0,50354897,7,70,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
