week,state,brandcorp,revenue
2020-10-05,NV,ESPOLON,17097
2020-10-05,CA-N,DON JULIO,658967
2020-10-05,MO,CAZADORES,3151
2020-10-05,ND,ESPOLON,2056
2020-10-05,ND,CAZADORES,406
2020-10-05,NE,ESPOLON,11113
2020-10-05,TX,CASAMIGOS,307060
2020-10-05,SC,ESPOLON,84773
2020-10-05,DE,ESPOLON,1655
2020-10-05,HI,CAZADORES,8822
2020-10-12,DE,LUNAZUL,1196
2020-10-12,AZ,ESPOLON,44341
2020-10-12,TX,DON JULIO,122255
2020-10-12,MO,CAZADORES,888
2020-10-12,NY-U,ESPOLON,83991
2020-10-12,KS,CASAMIGOS,7069
2020-10-12,KY,DON JULIO,33970
2020-10-12,LA,CAZADORES,1739
2020-10-12,LA,DON JULIO,54029
2020-10-12,ND,LUNAZUL,204
2020-10-12,CO,ESPOLON,119208
2020-10-12,TX,ESPOLON,237243
2020-10-12,SC,ESPOLON,60071
2020-10-12,CA-S,LUNAZUL,20510
2020-10-12,IN,LUNAZUL,2951
2020-10-12,ND,CASAMIGOS,2777
2020-10-12,CO,CAZADORES,10549
2020-10-12,WA,ESPOLON,73427
2020-10-12,NY-U,LUNAZUL,11711
2020-10-12,IL,CASAMIGOS,207948
2020-10-12,ND,ESPOLON,1026
2020-10-12,WA,LUNAZUL,29721
2020-10-12,MN,ESPOLON,14737
2020-10-12,AZ,LUNAZUL,8693
2020-10-12,CA-N,DON JULIO,728310
2020-10-12,CA-S,ESPOLON,406328
2020-10-12,CA-S,CASAMIGOS,824746
2020-10-12,FL,CAZADORES,43975
2020-10-12,FL,ESPOLON,77931
2020-10-12,NY-M,LUNAZUL,15289
2020-10-12,NE,CASAMIGOS,7571
2020-10-12,IL,ESPOLON,35910
2020-10-12,MO,LUNAZUL,15805
2020-10-12,MD,LUNAZUL,10737
2020-10-12,LA,LUNAZUL,7592
2020-10-12,TX,CAZADORES,24702
2020-10-12,MD,CASAMIGOS,106195
2020-10-12,IN,ESPOLON,5455
2020-10-12,AZ,CASAMIGOS,77671
2020-10-12,CA-S,DON JULIO,1212511
2020-10-12,CA-N,CAZADORES,101652
