MANDT,MATNR,SPRAS,MAKTX,MAKTG
1,00-90019-01-CI,EN,00-90019-01-CI\COMMERCIAL AIR TRANSPORT,00-90019-01-CI\COMMERCIAL AIR TRANSPORT
1,00-90020-00-CI,EN,00-90020-00-CI\VIP FAVORITE  CONFIGURATI,00-90020-00-CI\VIP FAVORITE  CONFIGURATI
1,00-90020-01-CI,EN,00-90020-01-CI\ACH EXCLUSIVE FAVORITE CO,00-90020-01-CI\ACH EXCLUSIVE FAVORITE CO
1,00-90021-01-CI,EN,"00-90021-01-CI\""H215 MULTIROLE"" STANDARD","00-90021-01-CI\""H215 MULTIROLE"" STANDARD"
1,00-90021-03-CI,EN,"00-90021-03-CI\""H215 MULTIROLE"" STANDARD","00-90021-03-CI\""H215 MULTIROLE"" STANDARD"
1,00-90022-01-CI,EN,"00-90022-01-CI\""H215 AERIAL WORK"" STANDA","00-90022-01-CI\""H215 AERIAL WORK"" STANDA"
1,00-90024-02-CI,EN,00-90024-02-CI\OFFSHORE TRANSPORTATION M,00-90024-02-CI\OFFSHORE TRANSPORTATION M
1,00-90024-03-CI,EN,00-90024-03-CI\OFFSHORE TRANSPORTATION M,00-90024-03-CI\OFFSHORE TRANSPORTATION M
1,00-90025-00-CI,EN,00-90025-00-CI\PUBLIC SERVICES STANDARD,00-90025-00-CI\PUBLIC SERVICES STANDARD
1,00-90025-01-CI,EN,00-90025-01-CI\PUBLIC SERVICES MISSION C,00-90025-01-CI\PUBLIC SERVICES MISSION C
1,00-90025-02-CI,EN,00-90025-02-CI\PUBLIC SERVICES MISSION C,00-90025-02-CI\PUBLIC SERVICES MISSION C
1,00-90026-01-CI,EN,00-90026-01-CI\VIP MISSION CONFIGURATION,00-90026-01-CI\VIP MISSION CONFIGURATION
1,00-90026-02-CI,EN,00-90026-02-CI\ACH EXCLUSIVE CONFIGURATI,00-90026-02-CI\ACH EXCLUSIVE CONFIGURATI
1,00-90027-01-CI,EN,00-90027-01-CI\EXECUTIVE MISSION CONFIGU,00-90027-01-CI\EXECUTIVE MISSION CONFIGU
1,00-90030-00-CI,EN,00-90030-00-CI\PUBLIC SERVICES FAVORITE,00-90030-00-CI\PUBLIC SERVICES FAVORITE
1,00-90032-01-CI,EN,00-90032-01-CI\HEMS FAVORITE CONFIGURATI,00-90032-01-CI\HEMS FAVORITE CONFIGURATI
1,00-90032-02-CI,EN,00-90032-02-CI\HEMS FAVORITE CONFIGURATI,00-90032-02-CI\HEMS FAVORITE CONFIGURATI
1,00-90033-00-CI,EN,00-90033-00-CI\GREEN VIP FAVORITE  CONFI,00-90033-00-CI\GREEN VIP FAVORITE  CONFI
1,00-90034-00-CI,EN,00-90034-00-CI\ STYLENCE FAVORITE CONFIG,00-90034-00-CI\ STYLENCE FAVORITE CONFIG
1,00-90034-01-CI,EN,00-90034-01-CI\STYLENCE BY ACH FAVORITE,00-90034-01-CI\STYLENCE BY ACH FAVORITE
1,00-90036-00-CI,EN,00-90036-00-CI\ACH LINE MISSION CONFIGUR,00-90036-00-CI\ACH LINE MISSION CONFIGUR
1,00-90MOT-02-CI,EN,00-90MOT-02-CI\CUSTOMIZED SAR MISSION CO,00-90MOT-02-CI\CUSTOMIZED SAR MISSION CO
1,8,EN,"DAN26-3.4364T7351-45,xF1450,x605,\AL-SH","DAN26-3.4364T7351-45,XF1450,X605,\AL-SH"
1,14,EN,FOLSAEURE\SAEURE,FOLSAEURE\SAEURE
1,17,EN,ABS0337-01\HALTENOCKEN,ABS0337-01\HALTENOCKEN
1,19,EN,"006,350  F8\LEHRE-RACHEN","006,350  F8\LEHRE-RACHEN"
1,21,EN,NLM312-121\ZYL.POSITIONSSTIFT,NLM312-121\ZYL.POSITIONSSTIFT
1,23,EN,DIN912-M12X110-8.8\HEX.SOCKET HEAD SCREW,DIN912-M12X110-8.8\HEX.SOCKET HEAD SCREW
1,24,EN,"DIN7527-1.4534.4-75,x45,\ST FL","DIN7527-1.4534.4-75,X45,\ST FL"
1,30,EN,RL8R-STD46130\ROTULE TEFLON,RL8R-STD46130\ROTULE TEFLON
1,31,EN,"STD20302-2024T351-48,\AL PLATE","STD20302-2024T351-48,\AL PLATE"
1,32,EN,RL6AR-STD46131\SPHERICAL PLAIN BEARING,RL6AR-STD46131\SPHERICAL PLAIN BEARING
1,33,EN,"STD20302-2024T351-52,\AL PLATE","STD20302-2024T351-52,\AL PLATE"
1,34,EN,26400-02-STD26400\KLEBSTOFF,26400-02-STD26400\KLEBSTOFF
1,35,EN,LN29549-8.4320.2A-EP\GLASS PREPREG,LN29549-8.4320.2A-EP\GLASS PREPREG
1,38,EN,LN29549-8.4321.2A-EP\GLASS PREPREG,LN29549-8.4321.2A-EP\GLASS PREPREG
1,40,EN,27041CS006-STD27041\KLEBEFILM,27041CS006-STD27041\KLEBEFILM
1,41,EN,"STD27161-27161NP004-12,9\K WABE","STD27161-27161NP004-12,9\K WABE"
1,42,EN,"DOLN78H-DOL170-0,05\K F0L","DOLN78H-DOL170-0,05\K F0L"
1,43,EN,NAS1423-8LH\HEXAGON NUT,NAS1423-8LH\HEXAGON NUT
1,44,EN,NSA5030-3-9\SCREW,NSA5030-3-9\SCREW
1,45,EN,NSA8147-05-16\BUSHING,NSA8147-05-16\BUSHING
1,46,EN,38261BC050020M--STD38261\TETE REDUITE FR,38261BC050020M--STD38261\TETE REDUITE FR
1,47,EN,5RH8035M-STD39584\MUTTER,5RH8035M-STD39584\MUTTER
1,48,EN,38261BC050018M--STD38261\TETE REDUITE FR,38261BC050018M--STD38261\TETE REDUITE FR
1,49,EN,38261BC050022M--STD38261\TETE REDUITE FR,38261BC050022M--STD38261\TETE REDUITE FR
1,50,EN,23111BC050LE-STD31591\WASHER,23111BC050LE-STD31591\WASHER
1,51,EN,21218DE4012-STD35072\SENKNIET,21218DE4012-STD35072\SENKNIET
1,53,EN,PM1A233190-045\VERROU HARTWELL,PM1A233190-045\VERROU HARTWELL
1,54,EN,22201TX050020XA-STD38150\SCHRAUBE,22201TX050020XA-STD38150\SCHRAUBE
1,61,EN,"STD27112-27112NM008-36,6\HONEYCOMB","STD27112-27112NM008-36,6\HONEYCOMB"
1,62,EN,"STD27112-27112NM005-23,6\HONEYCOMB","STD27112-27112NM005-23,6\HONEYCOMB"
1,63,EN,"STD27112-27112NM008-38,8\HONEYCOMB","STD27112-27112NM008-38,8\HONEYCOMB"
1,67,EN,"LN29557-3.0255.30-A0,8X0,05\ALUMINIUM SH","LN29557-3.0255.30-A0,8X0,05\ALUMINIUM SH"
1,68,EN,NAS6703-2\SCREW,NAS6703-2\SCREW
1,75,EN,CARTEX 76-203 BEIGE 43X32CM\WISCHTUCH,CARTEX 76-203 BEIGE 43X32CM\WISCHTUCH
1,82,EN,"993109-156-6\BRAID,BONDING","993109-156-6\BRAID,BONDING"
1,84,EN,"AN936A3\WASHER,TOOTH LOCK","AN936A3\WASHER,TOOTH LOCK"
1,91,EN,27061PE001-STD27061\SEALING COMPOUND,27061PE001-STD27061\SEALING COMPOUND
1,92,EN,NAS1921M04S02W-STD35750\BLIND RIVET,NAS1921M04S02W-STD35750\BLIND RIVET
1,93,EN,21218DE3209-STD35072\RIVET COUNTERSUNK,21218DE3209-STD35072\RIVET COUNTERSUNK
1,94,EN,26401-72-STD26401\SEALING COMPOUND,26401-72-STD26401\SEALING COMPOUND
1,95,EN,5SF5009M-STD39597\ANNIETMUTTER,5SF5009M-STD39597\ANNIETMUTTER
1,96,EN,21215DE2406-STD35050\RIVET,21215DE2406-STD35050\RIVET
1,97,EN,5SF6009M-STD39599\ANNIETMUTTER,5SF6009M-STD39599\ANNIETMUTTER
1,99,EN,21215DE4012-STD35050\UNIVERSALNIET,21215DE4012-STD35050\UNIVERSALNIET
1,100,EN,TKZ\BENENNUNG HALB,TKZ\BENENNUNG HALB
1,102,EN,TKZ\BENENNUNG PUR MK,TKZ\BENENNUNG PUR MK
1,103,EN,TKZ\BENENNUNG PUR SONST,TKZ\BENENNUNG PUR SONST
1,111,EN,"NAS1919M05S04W-STD35760\RIVET,BLIND","NAS1919M05S04W-STD35760\RIVET,BLIND"
1,112,EN,26401-75-STD26401\SEALING COMPOUND,26401-75-STD26401\SEALING COMPOUND
1,113,EN,"MS21250-05008\BOLT, BI-HEX-HEAD","MS21250-05008\BOLT, BI-HEX-HEAD"
1,114,EN,NSA5039-3-6\SCREW,NSA5039-3-6\SCREW
1,117,EN,ABS0368-01\RECEPTACLE,ABS0368-01\RECEPTACLE
1,118,EN,ABS0369-01\RECEPTACLE,ABS0369-01\RECEPTACLE
1,120,EN,NAS1097KE5-6\RIVET,NAS1097KE5-6\RIVET
1,121,EN,NAS1097KE5-7\RIVET,NAS1097KE5-7\RIVET
1,123,EN,21218DE3208-STD35072\SENKNIET,21218DE3208-STD35072\SENKNIET
1,124,EN,S78-15ZY\CLAMP,S78-15ZY\CLAMP
1,125,EN,"EN10025-ST52-3-45,\ST BL","EN10025-ST52-3-45,\ST BL"
1,130,EN,26400-52-STD26400\KLEBSTOFF,26400-52-STD26400\KLEBSTOFF
1,131,EN,CELOMER3840\PORENFUELLER,CELOMER3840\PORENFUELLER
1,132,EN,CELOMER3830\PRIMER,CELOMER3830\PRIMER
1,133,EN,6840B-7630-3600\PRIMAIRE METAL CELOMER,6840B-7630-3600\PRIMAIRE METAL CELOMER
1,135,EN,CELOMER4888(6113/5001)\POST-IMPR.CHROMAT,CELOMER4888(6113/5001)\POST-IMPR.CHROMAT
1,136,EN,"CELOMER4080CA,RAL7000\LACQUER","CELOMER4080CA,RAL7000\LACQUER"
1,137,EN,22275BC050012L--STD38360\VIS,22275BC050012L--STD38360\VIS
1,139,EN,21218DE2407-STD35072\RIVET,21218DE2407-STD35072\RIVET
1,146,EN,"DIN1017-ST52-3-30,x5,\ST FL","DIN1017-ST52-3-30,X5,\ST FL"
1,154,EN,7.925 F 8\LRACHEN-MET,7.925 F 8\LRACHEN-MET
1,155,EN,F25P5K39\PLUG,F25P5K39\PLUG
1,156,EN,FF6010-L6C\NUT,FF6010-L6C\NUT
1,157,EN,4610059\SEALING,4610059\SEALING
