	MANDT	AUFNR				POSNR		PSOBS	QUNUM	QUPOS	PROJN				PLNUM	STRMP	ETRMP	KDAUF	KDPOS	KDEIN	BESKZ	PSAMG	PSMNG	WEMNG	IAMNG	AMEIN	MEINS
	001	20001707459				0001		E		000	EP.590381.F.R.CU.S3					01/29/2020	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25002124290				0001		E		000	FP.590304.R.CU.AL				469623326	06/24/2014	06/17/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002124292				0001		E		000	FP.590304.R.CU.AL				469266621	07/15/2014	07/07/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002124362				0001		E		000	FP.590304.R.CU.AL				469265680	07/28/2014	07/15/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002124367				0001		E		000	FP.590304.R.CU.AL				469267048	06/24/2014	06/17/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002124373				0001		E		000	FP.590291.R.CU.AL				469267990	06/24/2014	06/17/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002124393				0001		E		000	FP.590304.R.CU.AL				469271249	06/24/2014	06/17/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002124468				0001		E		000	FP.590291.R.PG				469272337	07/15/2014	07/07/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002124474				0001		E		000	FP.580689.R.CU.AL				469266635	06/23/2014	06/16/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002124600				0001		E		000	FP.590243.R.CU.AL				469837994	06/24/2014	06/17/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	25002135558				0001		E		000	FP.590281.R.CU.ST.C				471809533	07/08/2014	07/01/2014		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	25002135570				0001		E		000	EP.590260.F.R.BA.S2				471822258	07/08/2014	07/01/2014		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
